2026-06-17 20:52:35 | INFO     | setup_database |   [OK] jobs
2026-06-17 20:52:35 | INFO     | setup_database |   [OK] locations
2026-06-17 20:52:35 | INFO     | setup_database |   [OK] salaries
2026-06-17 20:52:35 | INFO     | setup_database |   [OK] skills
2026-06-17 20:52:35 | INFO     | setup_database | Views in database:
2026-06-17 20:52:35 | INFO     | setup_database |   [OK] v_experience_summary
2026-06-17 20:52:35 | INFO     | setup_database |   [OK] v_location_hiring
2026-06-17 20:52:35 | INFO     | setup_database |   [OK] v_skill_demand
2026-06-17 20:52:35 | INFO     | setup_database | ============================================================
2026-06-17 20:52:35 | INFO     | setup_database | Database setup complete!
2026-06-17 20:52:35 | INFO     | setup_database | ============================================================
2026-06-17 20:52:50 | INFO     | etl.pipeline | ======================================================================
2026-06-17 20:52:50 | INFO     | etl.pipeline |   TECH TALENT INTELLIGENCE PLATFORM — ETL PIPELINE
2026-06-17 20:52:50 | INFO     | etl.pipeline | ======================================================================
2026-06-17 20:52:50 | INFO     | etl.pipeline | 
[1/4] EXTRACTING data from CSV files...
2026-06-17 20:52:50 | INFO     | etl.extractor | Found 3 CSV file(s) in C:\Users\ADMIN\OneDrive\Desktop\Sem-VI\Tech Telent Intelligence Platform\data\raw
2026-06-17 20:52:50 | INFO     | etl.extractor | Read Global AI Jobs: 15000 rows, columns: ['job_id', 'job_title', 'salary_usd', 'salary_currency', 'experience_level', 'employment_type', 'company_location', 'company_size', 'employee_residence', 'remote_ratio', 'required_skills', 'education_required', 'years_experience', 'industry', 'posting_date', 'application_deadline', 'job_description_length', 'benefits_score', 'company_name']
2026-06-17 20:52:50 | INFO     | etl.extractor |   [OK] global_ai_jobs.csv: 15000 rows extracted
2026-06-17 20:52:50 | INFO     | etl.extractor | Read India Tech Jobs: 5000 rows, columns: ['Job_ID', 'Job_Title', 'Company', 'Company_Type', 'Industry', 'City', 'Location_Tier', 'Experience_Level', 'Job_Type', 'Work_Mode', 'Salary_LPA', 'Skills_Required', 'Education_Required', 'Openings', 'Applicants', 'Company_Rating', 'Date_Posted']
2026-06-17 20:52:50 | INFO     | etl.extractor |   [OK] india_tech_jobs.csv: 5000 rows extracted
2026-06-17 20:52:50 | WARNING  | etl.extractor | Unknown dataset format: se_salaries.csv — skipping
2026-06-17 20:52:50 | INFO     | etl.extractor | Combined dataset: 20000 total rows
2026-06-17 20:52:50 | INFO     | etl.pipeline | 
[2/4] TRANSFORMING data...
2026-06-17 20:52:50 | INFO     | etl.transformer | ============================================================
